2025-12-04 10:25:58,756 INFO    MainThread:3632534 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_setup.py:_flush():81] Configure stats pid to 3632534
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_setup.py:_flush():81] Loading settings from /home/iml/marta.hasny/.config/wandb/settings
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_setup.py:_flush():81] Loading settings from /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/settings
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/run-20251204_102558-5f1r095c/logs/debug.log
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/run-20251204_102558-5f1r095c/logs/debug-internal.log
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_init.py:init():813] calling init triggers
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-04 10:25:58,757 INFO    MainThread:3632534 [wandb_init.py:init():861] starting backend
2025-12-04 10:26:04,068 INFO    MainThread:3632534 [wandb_init.py:init():864] sending inform_init request
2025-12-04 10:26:04,149 INFO    MainThread:3632534 [wandb_init.py:init():872] backend started and connected
2025-12-04 10:26:04,151 INFO    MainThread:3632534 [wandb_init.py:init():942] updated telemetry
2025-12-04 10:26:04,188 INFO    MainThread:3632534 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2025-12-04 10:26:07,521 INFO    MainThread:3632534 [wandb_init.py:init():1017] starting run threads in backend
2025-12-04 10:26:14,595 INFO    MainThread:3632534 [wandb_run.py:_console_start():2506] atexit reg
2025-12-04 10:26:14,595 INFO    MainThread:3632534 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-12-04 10:26:14,595 INFO    MainThread:3632534 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-12-04 10:26:14,595 INFO    MainThread:3632534 [wandb_run.py:_redirect():2446] Redirects installed.
2025-12-04 10:26:14,675 INFO    MainThread:3632534 [wandb_init.py:init():1057] run started, returning control to user process
2025-12-04 10:26:22,805 INFO    wandb-AsyncioManager-main:3632534 [service_client.py:_forward_responses():84] Reached EOF.
2025-12-04 10:26:22,805 INFO    wandb-AsyncioManager-main:3632534 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
